JP,EN
こちら葛飾区亀有公園前派出所,Kochikame
 ONE PIECE,One Piece
 BLEACH,Bleach
 銀魂,Gintama
 NARUTO-ナルト-,Naruto
 ジョジョの奇妙な冒険,JoJo's Bizarre Adventure
 DRAGON　BALL,Dragon Ball
 ろくでなしBLUES,Rokudenashi Blues
 家庭教師ヒットマンREBORN!,Hitman Reborn!
 キン肉マン,Kinnikuman
 トリコ,Toriko
 キャプテン翼,Captain Tsubasa
 ピューと吹く!ジャガー,Pyū to Fuku! Jaguar
 DRAGON QUEST ダイの大冒険,Dragon Quest The Adventure of Dai
 CITY HUNTER シティ・ハンター,City Hunter
 アイシールド21,Eyeshield 21
 トイレット博士,Dr Toliet
 魁!!男塾,Otokojuku
 HUNTER×HUNTER,Hunter x Hunter
 BOY-ボーイ-HARELUYAⅡ,Hareluya II Boy
 ど根性ガエル,The Gutsy Frog
 SKET DANCE,Sket Dance
 テニスの王子様,The Prince of Tennis
 地獄先生ぬ～べ～,Hell Teacher Nūbē
 鹿兵のケラケラ日記,Deer Soldiers Shining Diary
 黒子のバスケ,Kuroko No Basket
 SLAM　DUNK,Slam Dunk
 漫画ドリフターズ,Drifters
 ハイキュー!!,Haikyu!!
 ハイスクール!奇面組,High School! Kimengumi
 るろうに剣心 -明治剣客浪漫譚-,Rurouni Kenshin
 斉木楠雄のΨ難,The Disastrous Life of Saiki K
 聖闘士星矢,Saint Seiya
 遊☆戯☆王,YuGiOh!
 北斗の拳,Fist of the North Star
 リングにかけろ,Ring ni Kakero
 べるぜバブ,Beelzebub
 Dr.スランプ,Dr Slump
 新 ジャングルの王者ターちゃん,Jungle King Tar chan
 サーキットの狼,The Circuit Wolf 
 ニセコイ,Nisekoi
 食戟のソーマ,Shokugeki No Soma
 包丁人味平,Kyotojin Ajihei
 ドーベルマン刑事,Doberman Deka 
 ついでにとんちんかん,Tsuide ni Tonchinkan
 ぬらりひょんの孫,Nura Rise of the Yokai Clan
 悪たれ巨人,The Evil Giant
 魔人探偵脳噛ネウロ,Neuro Supernatural Detective
 プレイボール,Play Ball
 めだかボックス,Medaka Box
 とってもラッキーマン,Tottemo! Luckyman
 まじかる☆タルるートくん,Magical Taluluto
 燃える!お兄さん,The Burning Wild Man
 D.Gray-man,D Gray Man
 封神演義,Hoshin Engi
 シャーマンキング,Shaman King 
 暗殺教室,Assassination Classroom
 アストロ球団,Astro Team
 いぬまるだしっ,It's Numaru
 ブラックエンジェルズ,Black Angels
 県立海空高校野球部員山下たろ～くん,Prefectural Kaiku High School Baseball Staff Taro Yamashita
 磯部磯兵衛物語～浮世はつらいよ～,Isobe Isobe Monogatari
 ボボボーボ・ボーボボ,Bobobo bo Bo bobo
 幽☆遊☆白書,Yu Yu Hakusho
 バクマン。,Bakuman
 東大一直線,Todai Straight Line
 Mr.FULLSWING,Mr Fullswing
 花の慶次-雲のかなたに-,Keiji
 ワールドトリガー,World Trigger
 銀牙-流れ星 銀-,Ginga Nagareboshi Gin
 あらし!三匹,Storm!
 To LOVEる -とらぶる-,To Love
 ムヒョとロージーの魔法律相談事務所,Muhyo and Roji
 キャプテン翼 ワールドユース編,Captain Tsubasa World Youth Edition
 花さか天使テンテンくん,Hanasaka Tenten
 キャッツ・アイ CATS・EYE,Cats Eye
 きまぐれオレンジ・ロード,Kimagure Orange Road
 火ノ丸相撲,Hinomaru Sumo
 すすめ!!パイレーツ,Susume Pirates
 みどりのマキバオー,Midori no Makibaō
 侍ジャイアンツ,Samurai Giants
 SPACE ADVENTURE コブラ,Space Adventure Cobra
 僕のヒーローアカデミア,My Hero Academia
 いちご100％,Strawberry 100%
 PSYREN-サイレン-,Psyren
 WILD HALF,Wild Half
 ROOKIES,Rookies
 ボンボン坂高校演劇部,Bombonzaka High School Drama Club
 陣内流柔術武闘伝 真島クンすっとばす!!,Jinnai-ryu Jiu-Jitsu Budoden Mashima Kun Sutobasu
 男一匹ガキ大将,Otoko Ippiki Gaki Daisho
 世紀末リーダー伝たけし!,Seikimatsu Leader den Takeshi
 1・2のアッホ!!,1 and 2 Achoo
 シェイプアップ乱 SHAPE UP RAN,Shape Up Ran
 ペナントレース やまだたいちの奇蹟,Pennant Race of Taichi Taichi
 王様はロバ～はったり帝国の逆襲～,King Donkey
 ホールインワン,Hole In One
 アウターゾーン,THE OUTER ZONE
 ブラッククローバー,Black Clover
 ホイッスル!,Whistle
 ヤングおー!おー!,Young Oh! Oh!
 WING-MAN ウィングマン,Wing-Man
 激!!極虎一家,Geki!
 ジャングルの王者ターちゃん,Jungle King Tar-chan
 荒野の少年イサム,Kōya no Shōnen Isamu
 DEATH NOTE,Death Note
 THE MoMoTARoH ザ・モモタロウ,The Momotaroh
 神様はサウスポー,God is a Southpaw
 朝太郎伝,Asataro Biography
 ヒカルの碁,Hikaru no Go
 父の魂,Father of The Soul
 エム×ゼロ,Mx0
 キックオフ,Kick-Off
 風魔の小次郎,Kojiro of Fuuma
 ハレンチ学園,Shameless Gakuen
